KazaName,kazcode,Sanjak,sancode,Vilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,SanjakCenter
Anamur Kaza,1-3-1,İçel,1-3,Adana,1,10674.0,11883.0,145.0,185.0,,,,,,,,,,,,,,,,,,,22557.0,330,330,0,0.014629605000664982,0.0,0.0,0.0032863288718929253,49872.0,50544.0,100416.0,1881 Census,0
Ermenek Kaza,1-3-2,İçel,1-3,Adana,1,12309.0,11723.0,,3.0,21.0,35.0,,,,,,,,,,,,,,,,,24032.0,59,59,56,0.0024550599201065247,0.002330226364846871,0.0033785822021116137,0.003559577677224736,8251.0,8324.0,16575.0,1881 Census,0
Gülnar Kaza,1-3-3,İçel,1-3,Adana,1,8128.0,8175.0,114.0,136.0,9.0,9.0,,,,4.0,,,,,,,,,,,,,16303.0,272,272,18,0.016684045881126174,0.0011040912715451145,0.0007864726700747149,0.011884475903351248,10819.0,12068.0,22887.0,1881 Census,0
Mut Kaza,1-3-4,İçel,1-3,Adana,1,5979.0,5993.0,7.0,24.0,,,,,,,,,,,,,,,,,,,11972.0,31,31,0,0.002589375208820581,0.0,0.0,0.0012867875970279357,12330.0,11761.0,24091.0,1881 Census,0
Silifke Kaza,1-3-5,İçel,1-3,Adana,1,12058.0,11770.0,378.0,523.0,45.0,68.0,,,5.0,13.0,,,,,,,,,,,,,23828.0,1032,1032,113,0.043310391136478096,0.004742319959711264,0.009414313088394568,0.08597850537365659,5986.0,6017.0,12003.0,1881 Census,1
Feke Kaza,1-2-1,Kozan,1-2,Adana,1,4497.0,5299.0,544.0,600.0,821.0,1015.0,,,,,,,59.0,84.0,,,,,,,,,9796.0,3123,3123,1836,0.31880359330338914,0.1874234381380155,0.1421162628686431,0.2417369765461723,5921.0,6998.0,12919.0,1881 Census,0
Kadirli Kaza,1-2-2,Kozan,1-2,Adana,1,6665.0,7444.0,,,351.0,369.0,,,,,,,,,,,,,,,,,14109.0,720,720,720,0.05103125664469488,0.05103125664469488,0.04855351001416144,0.04855351001416144,7016.0,7813.0,14829.0,1881 Census,0
Kozan Kaza,1-2-3,Kozan,1-2,Adana,1,8679.0,9659.0,,,6645.0,7381.0,,,27.0,29.0,,,42.0,45.0,,,,,,,,,18338.0,14169,14169,14026,0.7726578689060967,0.7648598538553822,0.4314762974128649,0.4358753499246316,15393.0,17114.0,32507.0,1881 Census,1
Sayimbeyli (Haçin) Kaza,1-2-4,Kozan,1-2,Adana,1,6141.0,6885.0,,,4907.0,5297.0,,,73.0,72.0,,,331.0,351.0,,,,,,,,,13026.0,11031,11031,10204,0.8468447719944726,0.7833563641946876,0.4241592883568192,0.45853597705449556,11452.0,12605.0,24057.0,1881 Census,0
Ankara Central Kaza,6-1-1,Ankara,6-1,Ankara,6,8686.0,8532.0,843.0,794.0,376.0,349.0,,,2846.0,2733.0,225.0,188.0,7.0,6.0,,,,,,,,,17218.0,7954,8367,725,0.4619584156115693,0.04210709722383552,0.028325844891580385,0.31076382105880057,12983.0,12602.0,25595.0,1881 Census,1
Ayaş Kaza,6-1-2,Ankara,6-1,Ankara,6,10852.0,10933.0,,2.0,2.0,9.0,,,,9.0,,2.0,109.0,127.0,,,,,,,,,21785.0,258,260,11,0.01184301124627037,0.0005049345880192793,0.0005043789261314136,0.011829978449264065,10854.0,10955.0,21809.0,1881 Census,0
Bâlâ Kaza,6-1-3,Ankara,6-1,Ankara,6,11316.0,11556.0,,,,,,,,,,,,,,,,,,,,,22872.0,0,0,0,0.0,0.0,0.0,0.0,11316.0,11556.0,22872.0,1881 Census,0
