NameofKaza,sanjak,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,MaleIptidaiSchoolsDistributio,FemaleIbtidaiSchools1902190,MaleRusdiyyeSchools1876,MaleRusdiyyeSchools19021908,FemaleRusdiyyeSchools190219
Ereğli (K. Deniz),Bolu Sanjak-1,37-2-4,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Gerede Kaza,Bolu Sanjak-1,37-2-5,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Göynük Kaza,Bolu Sanjak-1,37-2-6,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Hamidiye (Bolu) Kaza,Bolu Sanjak-1,37-2-7,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Mudurnu (Mud) Kaza,Bolu Sanjak-1,37-2-8,Bolu Sanjak,37-2,Kastamonu Vilayet,37.0,24.55,23.33,1.0,1.11,0.0
Çankiri Central Kaza,Çankiri Sanjak-1,37-4-1,Çankiri Sanjak,37-4,Kastamonu Vilayet,37.0,36.5,33.5,0.66,1.0,0.0
Çerkeş Kaza,Çankiri Sanjak-1,37-4-2,Çankiri Sanjak,37-4,Kastamonu Vilayet,37.0,36.5,33.5,0.66,1.0,0.0
İskilip Kaza,Çankiri Sanjak-1,37-4-3,Çankiri Sanjak,37-4,Kastamonu Vilayet,37.0,36.5,33.5,0.66,1.0,0.0
Araç Kaza,Kastamonu Sanjak-1,37-1-1,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Cide Kaza,Kastamonu Sanjak-1,37-1-2,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Daday Kaza,Kastamonu Sanjak-1,37-1-3,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
inebolu Kaza,Kastamonu Sanjak-1,37-1-4,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Kastamonu Central Kaza,Kastamonu Sanjak-1,37-1-5,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Safranbolu Kaza,Kastamonu Sanjak-1,37-1-6,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Taşköprü Kaza,Kastamonu Sanjak-1,37-1-7,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Tosya Kaza,Kastamonu Sanjak-1,37-1-8,Kastamonu Sanjak,37-1,Kastamonu Vilayet,37.0,50.0,48.62,0.66,1.12,0.12
Ayancık Kaza,Sinop Sanjak-1,37-3-1,Sinop Sanjak,37-3,Kastamonu Vilayet,37.0,46.33,45.66,0.66,1.33,0.33
Boyabat Kaza,Sinop Sanjak-1,37-3-2,Sinop Sanjak,37-3,Kastamonu Vilayet,37.0,46.33,45.66,0.66,1.33,0.33
Sinop Central Kaza,Sinop Sanjak-1,37-3-3,Sinop Sanjak,37-3,Kastamonu Vilayet,37.0,46.33,45.66,0.66,1.33,0.33
Burdur Central Kaza,Burdur Sanjak-1,42-4-1,Burdur Sanjak,42-4,Konya Vilayet,42.0,5.5,0.5,0.33,1.0,0.0
Tefenni Kaza,Burdur Sanjak-1,42-4-2,Burdur Sanjak,42-4,Konya Vilayet,42.0,5.5,0.5,0.33,1.0,0.0
Eğridir Kaza,Hamitabat Sanjak (İsparta)-1,42-2-1,Hamitabat Sanjak (İsparta),42-2,Konya Vilayet,42.0,4.6,0.4,1.0,1.0,0.0
İsparta Kaza,Hamitabat Sanjak (İsparta)-1,42-2-2,Hamitabat Sanjak (İsparta),42-2,Konya Vilayet,42.0,4.6,0.4,1.0,1.0,0.0
Karaağaç Kaza,Hamitabat Sanjak (İsparta)-1,42-2-3,Hamitabat Sanjak (İsparta),42-2,Konya Vilayet,42.0,4.6,0.4,1.0,1.0,0.0
Uluborlu Kaza,Hamitabat Sanjak (İsparta)-1,42-2-4,Hamitabat Sanjak (İsparta),42-2,Konya Vilayet,42.0,4.6,0.4,1.0,1.0,0.0
Yalvaç Kaza,Hamitabat Sanjak (İsparta)-1,42-2-5,Hamitabat Sanjak (İsparta),42-2,Konya Vilayet,42.0,4.6,0.4,1.0,1.0,0.0
Akşehir Kaza,Konya Sanjak-1,42-1-1,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Beyşehri Kaza,Konya Sanjak-1,42-1-2,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Bozkir Kaza,Konya Sanjak-1,42-1-3,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Ereğli Kaza,Konya Sanjak-1,42-1-4,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Hadim Kaza,Konya Sanjak-1,42-1-5,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Ilgin Kaza,Konya Sanjak-1,42-1-6,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Karaman (Lârende) Kaza,Konya Sanjak-1,42-1-7,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Karapinar Kaza,Konya Sanjak-1,42-1-8,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Koçhisar Kaza,Konya Sanjak-1,42-1-9,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Konya Central Kaza,Konya Sanjak-1,42-1-10,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Seydişehir Kaza,Konya Sanjak-1,42-1-11,Konya Sanjak,42-1,Konya Vilayet,42.0,7.54,0.72,0.63,1.0,0.1
Aksaray Kaza,Niğde Sanjak-1,42-5-1,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Bor Kaza,Niğde Sanjak-1,42-5-2,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Gülşehri (Arapsun) Kaza,Niğde Sanjak-1,42-5-3,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Nevşehir Kaza,Niğde Sanjak-1,42-5-4,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Niğde Kaza,Niğde Sanjak-1,42-5-5,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Ulukışla (Hamidiye) Kaza,Niğde Sanjak-1,42-5-6,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Ürgüp Kaza,Niğde Sanjak-1,42-5-7,Niğde Sanjak,42-5,Konya Vilayet,42.0,5.85,0.57,0.8,1.14,0.14
Akseki Kaza,Teke Sanjak (Antalya)-1,42-3-1,Teke Sanjak (Antalya),42-3,Konya Vilayet,42.0,10.0,0.8,0.8,1.2,0.0
Alanya (Alaiye) Kaza,Teke Sanjak (Antalya)-1,42-3-2,Teke Sanjak (Antalya),42-3,Konya Vilayet,42.0,10.0,0.8,0.8,1.2,0.0
Antalya Kaza,Teke Sanjak (Antalya)-1,42-3-3,Teke Sanjak (Antalya),42-3,Konya Vilayet,42.0,10.0,0.8,0.8,1.2,0.0
Elmalı Kaza,Teke Sanjak (Antalya)-1,42-3-4,Teke Sanjak (Antalya),42-3,Konya Vilayet,42.0,10.0,0.8,0.8,1.2,0.0
Kaş Kaza,Teke Sanjak (Antalya)-1,42-3-5,Teke Sanjak (Antalya),42-3,Konya Vilayet,42.0,10.0,0.8,0.8,1.2,0.0
Ayvacik Kaza,N/A-3,17-3,Biga Sanjak (Special),17,N/A,17.0,73.5,72.16,1.14,1.0,0.33
Biga Kaza,N/A-4,17-4,Biga Sanjak (Special),17,N/A,17.0,73.5,72.16,1.14,1.0,0.33
Çanakkale Kaza,N/A-1,17-1,Biga Sanjak (Special),17,N/A,17.0,73.5,72.16,1.14,1.0,0.33
Ezine Kaza,N/A-2,17-2,Biga Sanjak (Special),17,N/A,17.0,73.5,72.16,1.14,1.0,0.33
Lâpseki Kaza,N/A-5,17-5,Biga Sanjak (Special),17,N/A,17.0,73.5,72.16,1.14,1.0,0.33
Büyükçekmece Kaza,Catalca Special-1,59-1,Catalca Special,59,N/A,59.0,1.0,0.33,,0.66,0.0
Çatalca Central Kaza,Catalca Special-1,59-2,Catalca Special,59,N/A,59.0,1.0,0.33,,0.66,0.0
Silivri Kaza,Catalca Special-1,59-3,Catalca Special,59,N/A,59.0,1.0,0.33,,0.66,0.0
Adapazarı Kaza,N/A-2,41-2,Izmit (Special) Sancak,41,N/A,41.0,43.16,40.5,,1.5,0.16
Geyve Kaza,N/A-4,41-4,Izmit (Special) Sancak,41,N/A,41.0,43.16,40.5,,1.5,0.16
İzmit Central Kaza,N/A-1,41-1,Izmit (Special) Sancak,41,N/A,41.0,43.16,40.5,,1.5,0.16
Kandira Kaza,N/A-3,41-3,Izmit (Special) Sancak,41,N/A,41.0,43.16,40.5,,1.5,0.16
Karamürsel Kaza,N/A-5,41-5,Izmit (Special) Sancak,41,N/A,41.0,43.16,40.5,,1.5,0.16
Amasya Central Kaza,Amasya Sanjak-1,58-2-1,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Gümüşhacıköy Kaza,Amasya Sanjak-1,58-2-2,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Havza Kaza,Amasya Sanjak-1,58-2-3,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Lâdik Kaza,Amasya Sanjak-1,58-2-4,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Mecitözü Kaza,Amasya Sanjak-1,58-2-5,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Merzifon Kaza,Amasya Sanjak-1,58-2-6,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Osmancik Kaza,Amasya Sanjak-1,58-2-7,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Vesirköprü (Köprü) Kaza,Amasya Sanjak-1,58-2-8,Amasya Sanjak,58-2,Sivas Vilayet,58.0,1.85,0.42,1.0,1.14,0.0
Alucra Kaza,Karahişar-ı Şarki (Şebinkarahisar) Sanjak-1,58-3-1,Karahişar-ı Şarki (Şebinkarahisar) Sanjak,58-3,Sivas Vilayet,58.0,0.6,0.6,0.2,1.0,0.0
Karahişar-ı Şarki Central Kaza,Karahişar-ı Şarki (Şebinkarahisar) Sanjak-1,58-3-2,Karahişar-ı Şarki (Şebinkarahisar) Sanjak,58-3,Sivas Vilayet,58.0,0.6,0.6,0.2,1.0,0.0
Koyulhisar Kaza,Karahişar-ı Şarki (Şebinkarahisar) Sanjak-1,58-3-3,Karahişar-ı Şarki (Şebinkarahisar) Sanjak,58-3,Sivas Vilayet,58.0,0.6,0.6,0.2,1.0,0.0
Mesudiye Kaza,Karahişar-ı Şarki (Şebinkarahisar) Sanjak-1,58-3-4,Karahişar-ı Şarki (Şebinkarahisar) Sanjak,58-3,Sivas Vilayet,58.0,0.6,0.6,0.2,1.0,0.0
