NameofKaza,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,CentralKazaDummy,AP,FID,Id,Vilayet,Sanjak,kaza,_merge
Genc Kaza,13-4-2,Genc Sanjak,13-4,Bitlis Vilayet,13.0,7311.0,11859.0,,,802.0,1103.0,,,,,,,,,,,,,,,,,19170.0,1905.0,1905.0,1905.0,0.09937402191,0.09937402191,0.09039145907,0.09039145907,,,21075.0,1892 Salnamesi,1.0,"replace kazcode=""13-4-2"" if kaza==""Genc Kaza""",186.0,0,Bitlis,Genc,Genc Kaza,3
Kulp Kaza,13-4-3,Genc Sanjak,13-4,Bitlis Vilayet,13.0,3285.0,3828.0,,,1325.0,1555.0,,,,,,,,,,,,,,,,,7113.0,2880.0,2880.0,2880.0,0.4048924504,0.4048924504,0.2882017412,0.2882017412,,,9993.0,1892 Salnamesi,0.0,"replace kazcode=""13-4-3"" if kaza==""Kulp Kaza""",185.0,0,Bitlis,Genc,Kulp Kaza,3
Bursa Kaza,16-1-1,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,44641.0,45022.0,10702.0,10584.0,3232.0,2594.0,,22.0,357.0,293.0,1281.0,1303.0,145.0,151.0,5.0,7.0,,,,,533.0,718.0,89663.0,28092.0,30676.0,5826.0,0.3133064921,0.06497663473,0.0479151246,0.2310387367,60896.0,60694.0,121590.0,1881 Census,1.0,"replace kazcode=""16-1-1"" if kaza==""Bursa Kaza""",10.0,0,Bursa,Bursa,BursaMerkez Kaza,3
Gemlik Kaza,16-1-2,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,7403.0,7937.0,3120.0,3455.0,7810.0,8813.0,,,,,,,37.0,34.0,,,,,,,97.0,116.0,15340.0,23269.0,23269.0,16623.0,1.516883963,1.083637549,0.4281850497,0.5993766421,18467.0,20355.0,38822.0,1881 Census,0.0,"replace kazcode=""16-1-2"" if kaza==""Gemlik Kaza""",311.0,0,Bursa,Bursa,Gemlik Kaza,3
Kirmasti (M. Kemalpaşa),16-1-3,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,19128.0,21000.0,514.0,540.0,404.0,409.0,,,,,,,,,,,,,,,,,40128.0,1867.0,1867.0,813.0,0.04652611643,0.02026016746,0.01935944755,0.04445767353,20046.0,21949.0,41995.0,1881 Census,0.0,"replace kazcode=""16-1-3"" if kaza==""Kirmasti (M. Kemalpaşa)""",317.0,0,Bursa,Bursa,Kirmasti Kaza,3
"Mihaliç ,, (Karacabey)",16-1-4,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,9421.0,10681.0,3436.0,3830.0,377.0,377.0,,,,,38.0,49.0,25.0,23.0,,,,,,,2.0,4.0,20102.0,8068.0,8155.0,754.0,0.4013530992,0.0375087056,0.02667798889,0.2854615575,13299.0,14964.0,28263.0,1881 Census,0.0,"replace kazcode=""16-1-4"" if kaza==""Mihaliç ,, (Karacabey)""",316.0,0,Bursa,Bursa,Mihalic Kaza,3
Mudanya Kaza,16-1-5,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,2348.0,2543.0,5631.0,6161.0,,,,,,,,,,,,,,,,,,,4891.0,11792.0,11792.0,0.0,2.410958904,0.0,0.0,0.7068273092,7979.0,8704.0,16683.0,1881 Census,0.0,"replace kazcode=""16-1-5"" if kaza==""Mudanya Kaza""",310.0,0,Bursa,Bursa,Mudanya Kaza,3
Orhaneli (Adranos) Kaza,16-1-6,Bursa Sanjak,16-1,Bursa (Hüdavendigar) Province,16.0,19290.0,19139.0,,,,,,,,,,,,,,,,,,,,,38429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19290.0,19139.0,38429.0,1881 Census,0.0,"replace kazcode=""16-1-6"" if kaza==""Orhaneli (Adranos) Kaza""",304.0,0,Bursa,Bursa,Orhaneli Kaza,3
Bilecik Kaza,16-2-1,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,24211.0,22932.0,3942.0,3602.0,3213.0,3124.0,,,378.0,372.0,,,78.0,77.0,,,,,,,,,47143.0,14786.0,14786.0,6337.0,0.3136414738,0.1344208048,0.1023268582,0.2387572866,31822.0,30107.0,61929.0,1881 Census,,"replace kazcode=""16-2-1"" if kaza==""Bilecik Kaza""",319.0,0,Bursa,Ertugrul,Bilecik Kaza,3
İnegöl Kaza,16-2-2,Ertuğrul Sanjak,16-2,Bursa (Hüdavendigar) Province,16.0,19451.0,18892.0,,,2688.0,2816.0,,,47.0,47.0,,,89.0,85.0,,,,,,,,,38343.0,5772.0,5772.0,5504.0,0.1505359518,0.14354641,0.1247648192,0.1308398504,22275.0,21840.0,44115.0,1881 Census,,"replace kazcode=""16-2-2"" if kaza==""İnegöl Kaza""",321.0,0,Bursa,Ertugrul,Inegol Kaza,3
